,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
477,Sfântu Gheorghe,45.87,25.78,31.46,48,13,4.23
478,Adrar,20.5,-10.07,85.8,8,0,9.53
479,Kahului,20.89,-156.47,69.66,88,40,6.93
480,São Francisco,-15.95,-44.86,82.74,61,100,5.3
481,Chumikan,54.72,135.31,-3.3,92,4,1.45
482,Vila Franca do Campo,37.72,-25.43,62.6,63,20,5.82
483,Nyurba,63.28,118.33,29.46,95,100,6.6
484,Shihezi,44.3,86.03,40.26,50,0,1.79
485,Waddān,29.16,16.14,75.36,14,0,10.07
486,Florianópolis,-27.61,-48.5,89.98,62,13,11.41
487,Hindupur,13.83,77.49,76.08,63,55,14.34
488,Rawson,-43.3,-65.1,65.64,51,17,15.5
489,Methóni,36.82,21.7,59.31,87,0,1.12
490,Hollola,61.05,25.43,34.0,77,100,5.99
491,Rauma,61.13,21.51,37.4,86,90,17.22
492,San Francisco del Mar Viejo,16.23,-94.65,84.36,68,0,19.17
493,Vitim,59.45,112.56,30.54,93,100,10.25
494,Kalmunai,7.42,81.82,82.38,79,22,12.57
495,Krasnosel'kup,65.7,82.47,-12.48,86,20,6.38
496,Sisimiut,66.94,-53.67,-5.46,75,0,3.98
497,Tam Ky,15.57,108.48,78.8,88,20,2.24
498,Les Herbiers,46.87,-1.02,52.45,76,40,6.93
499,Sinaloa,25.0,-107.5,75.2,53,90,4.7
500,Srostki,52.42,85.7,34.14,85,100,5.61
501,Lensk,60.73,114.93,30.0,93,100,9.51
502,Les Cayes,18.2,-73.75,79.68,67,0,7.83
503,Isabela,6.71,121.97,75.2,94,75,3.13
504,Yenotayevka,47.25,47.03,42.96,33,100,15.14
505,Batemans Bay,-35.72,150.18,58.95,71,86,1.99
506,Soyo,-6.13,12.37,84.2,89,75,5.82
507,Nowy Dwór Gdański,54.21,19.12,39.72,48,50,16.11
508,Leningradskiy,69.38,178.42,14.7,70,98,12.35
509,Djibouti,11.5,42.5,80.6,78,75,5.82
510,Ixtapa,20.7,-105.2,79.77,61,40,8.05
511,Husavik,66.04,-17.34,28.4,68,40,40.26
512,Doha,25.29,51.53,75.22,53,0,8.05
513,Scarborough,54.28,-0.4,45.54,66,83,11.41
514,San Policarpo,12.18,125.51,76.98,77,21,8.7
515,Altay,47.87,88.12,22.8,38,0,6.15
516,Belyy Yar,53.6,91.39,39.2,90,100,11.18
517,Biak,-0.91,122.88,81.48,75,66,5.55
518,Sondrio,46.17,9.87,41.14,79,72,11.41
519,Byron Bay,-28.65,153.62,63.7,60,90,17.22
520,Tazovsky,67.47,78.7,-5.1,89,100,6.73
521,Dubovka,49.06,44.83,24.8,53,91,8.95
522,Gympie,-26.19,152.66,66.06,73,31,3.0
523,Sarangani,5.4,125.46,81.84,78,92,17.87
524,Batabanó,22.72,-82.29,87.4,43,40,4.7
525,Babu,24.42,111.52,61.68,74,91,1.23
526,Ahipara,-35.17,173.17,63.48,76,99,7.58
527,Amparafaravola,-17.58,48.22,65.82,91,88,8.01
528,Bugama,4.73,6.86,89.6,70,20,10.29
529,Bowen,-20.02,148.23,70.03,94,0,3.36
530,Marand,38.43,45.77,48.2,87,20,4.7
531,Kaeo,-35.1,173.78,58.48,93,100,1.01
532,Gazojak,41.19,61.4,66.9,31,100,7.45
533,Neryungri,56.67,124.65,4.08,87,62,3.29
534,Gra Lygia,35.02,25.68,59.45,87,20,12.75
535,San Cristobal,7.77,-72.22,80.6,61,75,8.05
536,Romny,50.75,33.47,30.72,48,92,12.55
537,Cam Ranh,11.92,109.16,80.6,83,20,4.7
538,Abong Mbang,3.98,13.18,80.4,25,35,1.54
539,Kuril'sk,45.23,147.88,23.88,83,64,16.11
540,Inongo,-1.95,18.27,79.86,67,79,0.87
541,Ilulissat,69.22,-51.1,-5.8,39,20,10.29
542,Moerai,-22.43,-151.33,79.86,73,46,6.02
543,Luorong,24.41,109.61,60.24,76,100,3.85
544,Altmünster,47.9,13.76,43.88,31,0,13.87
545,Singkang,2.1,102.8,80.42,83,20,4.7
546,Uzunovo,54.54,38.62,26.58,59,100,16.82
547,Pauini,-7.71,-66.98,86.88,70,100,4.72
548,Novo Aripuanã,-5.12,-60.38,93.18,49,76,2.39
549,Puerto Suárez,-18.95,-57.8,94.75,52,40,12.75
550,Kushmurun,52.45,64.63,30.72,83,15,10.94
551,Lakes Entrance,-37.88,147.98,46.0,95,55,5.7
552,Buncrana,55.13,-7.45,44.28,81,20,11.41
553,Skibbereen,51.55,-9.27,42.8,70,20,14.99
554,Sulangan,11.14,123.72,78.96,81,0,16.4
555,Bagulā,23.32,88.65,73.56,58,37,3.91
556,Gornoye Loo,43.71,39.6,46.22,87,90,4.47
557,Nouadhibou,20.93,-17.03,69.8,64,0,20.8
558,Masvingo,-20.06,30.83,70.86,64,19,4.47
559,Henties Bay,-22.12,14.28,62.01,92,0,1.01
560,Ondangwa,-17.92,15.95,83.1,45,57,6.69
561,Skjervøy,70.03,20.97,26.58,59,82,15.73
562,Ponta Delgada,37.73,-25.67,62.6,63,20,5.82
563,Saint-Leu,-21.15,55.28,74.07,78,100,8.05
564,Tegul'det,57.31,88.17,32.16,97,100,8.3
565,Kendari,-3.94,122.5,73.74,97,97,1.05
566,Havelock,34.88,-76.9,50.68,87,90,13.87
567,Brzesko,49.97,20.61,36.23,40,0,9.17
568,Paragominas,-2.97,-47.48,78.6,93,100,7.45
569,Paracuru,-3.41,-39.03,85.48,70,75,9.17
570,Kingaroy,-26.53,151.83,59.94,72,10,9.17
571,Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,86,90,17.9
